Job name        : med-lfb-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   11] BNT [score: 1520.0, median singleton score: 144.0, visited nodes (%): 60.000003814697266, solving time (ms): 5.0, median approximation score: 1.617977499961853]
[   11] CTS [score: 0.0, median singleton score: 0.0, visited nodes (%): 0.0, solving time (ms): 0.0, median approximation score: 0.0]
[   11] ANT-e [score: 1173.0, median singleton score: 77.0, visited nodes (%): 100.0, solving time (ms): 1192.0, median approximation score: 0.0]
[   12] EDF [score: 1162.0, median singleton score: 98.0, visited nodes (%): 80.0, solving time (ms): 1.0, median approximation score: 1.558823585510254]
[   12] BNT [score: 1164.0, median singleton score: 118.0, visited nodes (%): 60.000003814697266, solving time (ms): 6.0, median approximation score: 1.725806474685669]
[   12] CTS [score: 908.0, median singleton score: 208.5, visited nodes (%): 26.666667938232422, solving time (ms): 20.0, median approximation score: 0.0]
[   12] ANT-e [score: 1204.0, median singleton score: 74.0, visited nodes (%): 100.0, solving time (ms): 1367.0, median approximation score: 0.0]
[   13] EDF [score: 1661.0, median singleton score: 114.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.950819730758667]
[   13] BNT [score: 1330.0, median singleton score: 127.0, visited nodes (%): 73.33333587646484, solving time (ms): 7.0, median approximation score: 2.065934181213379]
[   13] CTS [score: 1302.0, median singleton score: 119.0, visited nodes (%): 60.000003814697266, solving time (ms): 13.0, median approximation score: 1.7857142686843872]
[   13] ANT-e [score: 1292.0, median singleton score: 75.0, visited nodes (%): 100.0, solving time (ms): 1594.0, median approximation score: 0.0]
[   14] EDF [score: 1525.0, median singleton score: 101.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.8974359035491943]
[   14] BNT [score: 1299.0, median singleton score: 137.0, visited nodes (%): 66.66667175292969, solving time (ms): 5.0, median approximation score: 1.4571428298950195]
[   14] CTS [score: 651.0, median singleton score: 213.0, visited nodes (%): 20.0, solving time (ms): 17.0, median approximation score: 0.0]
[   14] ANT-e [score: 1429.0, median singleton score: 80.0, visited nodes (%): 100.0, solving time (ms): 563.0, median approximation score: 0.0]
[   15] EDF [score: 2514.0, median singleton score: 198.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 3.8064515590667725]
[   15] BNT [score: 1435.0, median singleton score: 126.5, visited nodes (%): 80.0, solving time (ms): 7.0, median approximation score: 2.015625]
[   15] CTS [score: 297.0, median singleton score: 297.0, visited nodes (%): 6.6666669845581055, solving time (ms): 13.0, median approximation score: 0.0]
[   15] ANT-e [score: 874.0, median singleton score: 50.0, visited nodes (%): 100.0, solving time (ms): 561.0, median approximation score: 0.0]
[   16] EDF [score: 1259.0, median singleton score: 77.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.8048779964447021]
[   16] BNT [score: 1280.0, median singleton score: 189.0, visited nodes (%): 53.333335876464844, solving time (ms): 5.0, median approximation score: 1.0]
[   16] CTS [score: 720.0, median singleton score: 360.0, visited nodes (%): 13.333333969116211, solving time (ms): 28.0, median approximation score: 0.0]
[   16] ANT-e [score: 764.0, median singleton score: 46.0, visited nodes (%): 100.0, solving time (ms): 497.0, median approximation score: 0.0]
[   17] EDF [score: 1807.0, median singleton score: 120.0, visited nodes (%): 86.66666412353516, solving time (ms): 1.0, median approximation score: 2.1111111640930176]
