Job name        : lfb-linearperturbed
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [LINEAR_PERTURBED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 4500.0, median singleton score: 33.0, visited nodes (%): 94.66666412353516, solving time (ms): 20.0, median approximation score: 1.123106062412262]
[    1] BNT [score: 4944.0, median singleton score: 37.0, visited nodes (%): 90.0, solving time (ms): 409.0, median approximation score: 1.212406039237976]
[    1] CTS [score: 13856.0, median singleton score: 96.0, visited nodes (%): 98.0, solving time (ms): 248.0, median approximation score: 3.2938461303710938]
[    1] ANT-e [score: 4159.0, median singleton score: 29.0, visited nodes (%): 94.66666412353516, solving time (ms): 837.0, median approximation score: 0.0]
[    2] EDF [score: 4370.0, median singleton score: 35.0, visited nodes (%): 90.0, solving time (ms): 6.0, median approximation score: 1.125]
[    2] BNT [score: 4602.0, median singleton score: 41.5, visited nodes (%): 84.0, solving time (ms): 356.0, median approximation score: 1.2029411792755127]
[    2] CTS [score: 13924.0, median singleton score: 106.0, visited nodes (%): 90.0, solving time (ms): 222.0, median approximation score: 3.2777777910232544]
[    2] ANT-e [score: 3998.0, median singleton score: 31.0, visited nodes (%): 90.0, solving time (ms): 685.0, median approximation score: 0.0]
[    3] EDF [score: 4335.0, median singleton score: 32.0, visited nodes (%): 91.33333587646484, solving time (ms): 6.0, median approximation score: 1.0307765007019043]
[    3] BNT [score: 4612.0, median singleton score: 37.0, visited nodes (%): 84.66667175292969, solving time (ms): 365.0, median approximation score: 1.123106062412262]
[    3] CTS [score: 16544.0, median singleton score: 122.0, visited nodes (%): 92.0, solving time (ms): 210.0, median approximation score: 3.857859492301941]
[    3] ANT-e [score: 4420.0, median singleton score: 31.0, visited nodes (%): 92.0, solving time (ms): 695.0, median approximation score: 0.0]
[    4] EDF [score: 4066.0, median singleton score: 31.0, visited nodes (%): 90.0, solving time (ms): 5.0, median approximation score: 1.0787037014961243]
[    4] BNT [score: 4472.0, median singleton score: 36.0, visited nodes (%): 85.33333587646484, solving time (ms): 350.0, median approximation score: 1.1818488836288452]
[    4] CTS [score: 13792.0, median singleton score: 102.0, visited nodes (%): 93.33333587646484, solving time (ms): 169.0, median approximation score: 3.4601292610168457]
[    4] ANT-e [score: 4023.0, median singleton score: 28.0, visited nodes (%): 90.0, solving time (ms): 649.0, median approximation score: 0.0]
[    5] EDF [score: 4234.0, median singleton score: 31.0, visited nodes (%): 91.33333587646484, solving time (ms): 5.0, median approximation score: 1.1040540933609009]
[    5] BNT [score: 4764.0, median singleton score: 36.0, visited nodes (%): 90.0, solving time (ms): 362.0, median approximation score: 1.255434811115265]
[    5] CTS [score: 14646.0, median singleton score: 105.0, visited nodes (%): 90.66667175292969, solving time (ms): 175.0, median approximation score: 3.6243590116500854]
[    5] ANT-e [score: 4027.0, median singleton score: 27.0, visited nodes (%): 91.33333587646484, solving time (ms): 617.0, median approximation score: 0.0]
[    6] EDF [score: 3967.0, median singleton score: 31.0, visited nodes (%): 89.33332824707031, solving time (ms): 5.0, median approximation score: 1.0555555820465088]
[    6] BNT [score: 4512.0, median singleton score: 37.0, visited nodes (%): 87.33333587646484, solving time (ms): 354.0, median approximation score: 1.1764706373214722]
[    6] CTS [score: 14223.0, median singleton score: 101.0, visited nodes (%): 94.0, solving time (ms): 183.0, median approximation score: 3.5247058868408203]
[    6] ANT-e [score: 4087.0, median singleton score: 29.0, visited nodes (%): 90.66667175292969, solving time (ms): 622.0, median approximation score: 0.0]
[    7] EDF [score: 4381.0, median singleton score: 32.0, visited nodes (%): 94.66666412353516, solving time (ms): 6.0, median approximation score: 1.0875958800315857]
[    7] BNT [score: 5171.0, median singleton score: 39.5, visited nodes (%): 92.0, solving time (ms): 388.0, median approximation score: 1.265686273574829]
[    7] CTS [score: 16571.0, median singleton score: 124.0, visited nodes (%): 82.0, solving time (ms): 239.0, median approximation score: 4.081939697265625]
[    7] ANT-e [score: 4146.0, median singleton score: 28.0, visited nodes (%): 95.33332824707031, solving time (ms): 621.0, median approximation score: 0.0]
[    8] EDF [score: 4630.0, median singleton score: 35.0, visited nodes (%): 94.0, solving time (ms): 6.0, median approximation score: 1.1132478713989258]
[    8] BNT [score: 5339.0, median singleton score: 41.0, visited nodes (%): 90.0, solving time (ms): 384.0, median approximation score: 1.246212124824524]
[    8] CTS [score: 18289.0, median singleton score: 129.0, visited nodes (%): 95.33332824707031, solving time (ms): 196.0, median approximation score: 4.194357395172119]
[    8] ANT-e [score: 4295.0, median singleton score: 31.0, visited nodes (%): 94.0, solving time (ms): 659.0, median approximation score: 0.0]
[    9] EDF [score: 4301.0, median singleton score: 32.0, visited nodes (%): 92.0, solving time (ms): 5.0, median approximation score: 1.0941176414489746]
[    9] BNT [score: 4644.0, median singleton score: 35.0, visited nodes (%): 90.0, solving time (ms): 367.0, median approximation score: 1.1606451272964478]
[    9] CTS [score: 15153.0, median singleton score: 110.0, visited nodes (%): 97.33333587646484, solving time (ms): 185.0, median approximation score: 3.6267857551574707]
[    9] ANT-e [score: 4181.0, median singleton score: 29.0, visited nodes (%): 92.0, solving time (ms): 617.0, median approximation score: 0.0]
[   10] EDF [score: 4406.0, median singleton score: 34.5, visited nodes (%): 90.66667175292969, solving time (ms): 5.0, median approximation score: 1.132456123828888]
[   10] BNT [score: 4793.0, median singleton score: 39.0, visited nodes (%): 87.33333587646484, solving time (ms): 355.0, median approximation score: 1.2338057160377502]
[   10] CTS [score: 15073.0, median singleton score: 106.5, visited nodes (%): 94.66666412353516, solving time (ms): 190.0, median approximation score: 3.5080459117889404]
[   10] ANT-e [score: 3884.0, median singleton score: 29.0, visited nodes (%): 90.66667175292969, solving time (ms): 629.0, median approximation score: 0.0]
[   11] EDF [score: 4179.0, median singleton score: 32.0, visited nodes (%): 92.66666412353516, solving time (ms): 6.0, median approximation score: 1.114379107952118]
[   11] BNT [score: 4589.0, median singleton score: 39.0, visited nodes (%): 87.33333587646484, solving time (ms): 370.0, median approximation score: 1.2253968119621277]
[   11] CTS [score: 15654.0, median singleton score: 112.0, visited nodes (%): 88.66666412353516, solving time (ms): 224.0, median approximation score: 3.853835940361023]
[   11] ANT-e [score: 3928.0, median singleton score: 28.0, visited nodes (%): 93.33333587646484, solving time (ms): 614.0, median approximation score: 0.0]
[   12] EDF [score: 4186.0, median singleton score: 33.0, visited nodes (%): 90.66667175292969, solving time (ms): 6.0, median approximation score: 1.0357142686843872]
[   12] BNT [score: 4816.0, median singleton score: 36.0, visited nodes (%): 86.66666412353516, solving time (ms): 361.0, median approximation score: 1.193376064300537]
[   12] CTS [score: 17627.0, median singleton score: 157.0, visited nodes (%): 83.33332824707031, solving time (ms): 272.0, median approximation score: 4.685457706451416]
[   12] ANT-e [score: 4327.0, median singleton score: 31.0, visited nodes (%): 91.33333587646484, solving time (ms): 600.0, median approximation score: 0.0]
[   13] EDF [score: 4048.0, median singleton score: 29.0, visited nodes (%): 92.0, solving time (ms): 5.0, median approximation score: 1.0555555820465088]
[   13] BNT [score: 4549.0, median singleton score: 33.0, visited nodes (%): 90.66667175292969, solving time (ms): 366.0, median approximation score: 1.149999976158142]
[   13] CTS [score: 11887.0, median singleton score: 80.5, visited nodes (%): 96.0, solving time (ms): 156.0, median approximation score: 2.8262499570846558]
[   13] ANT-e [score: 3997.0, median singleton score: 29.0, visited nodes (%): 92.0, solving time (ms): 612.0, median approximation score: 0.0]
[   14] EDF [score: 4413.0, median singleton score: 33.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.1388888359069824]
[   14] BNT [score: 4896.0, median singleton score: 39.0, visited nodes (%): 89.33332824707031, solving time (ms): 371.0, median approximation score: 1.2466216087341309]
[   14] CTS [score: 16975.0, median singleton score: 141.5, visited nodes (%): 82.66666412353516, solving time (ms): 257.0, median approximation score: 4.55434775352478]
[   14] ANT-e [score: 3860.0, median singleton score: 29.0, visited nodes (%): 93.33333587646484, solving time (ms): 624.0, median approximation score: 0.0]
[   15] EDF [score: 3924.0, median singleton score: 29.0, visited nodes (%): 92.66666412353516, solving time (ms): 6.0, median approximation score: 1.0689655542373657]
[   15] BNT [score: 4377.0, median singleton score: 34.0, visited nodes (%): 91.33333587646484, solving time (ms): 371.0, median approximation score: 1.1583333015441895]
[   15] CTS [score: 12209.0, median singleton score: 80.0, visited nodes (%): 98.0, solving time (ms): 148.0, median approximation score: 2.9521396160125732]
[   15] ANT-e [score: 3914.0, median singleton score: 26.0, visited nodes (%): 92.66666412353516, solving time (ms): 597.0, median approximation score: 0.0]
[   16] EDF [score: 4297.0, median singleton score: 32.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.0666667222976685]
[   16] BNT [score: 4800.0, median singleton score: 37.0, visited nodes (%): 89.33332824707031, solving time (ms): 385.0, median approximation score: 1.191391944885254]
[   16] CTS [score: 16753.0, median singleton score: 139.0, visited nodes (%): 80.66666412353516, solving time (ms): 271.0, median approximation score: 4.590062141418457]
[   16] ANT-e [score: 4073.0, median singleton score: 29.5, visited nodes (%): 94.66666412353516, solving time (ms): 612.0, median approximation score: 0.0]
[   17] EDF [score: 3971.0, median singleton score: 31.0, visited nodes (%): 90.0, solving time (ms): 5.0, median approximation score: 1.0477272272109985]
[   17] BNT [score: 4520.0, median singleton score: 37.5, visited nodes (%): 88.0, solving time (ms): 356.0, median approximation score: 1.1666666269302368]
[   17] CTS [score: 13737.0, median singleton score: 100.0, visited nodes (%): 92.66666412353516, solving time (ms): 175.0, median approximation score: 3.512142777442932]
[   17] ANT-e [score: 4018.0, median singleton score: 28.0, visited nodes (%): 90.66667175292969, solving time (ms): 607.0, median approximation score: 0.0]
[   18] EDF [score: 4300.0, median singleton score: 30.0, visited nodes (%): 94.66666412353516, solving time (ms): 6.0, median approximation score: 1.1081081628799438]
[   18] BNT [score: 4745.0, median singleton score: 35.0, visited nodes (%): 90.66667175292969, solving time (ms): 386.0, median approximation score: 1.2142857313156128]
[   18] CTS [score: 16058.0, median singleton score: 125.0, visited nodes (%): 82.66666412353516, solving time (ms): 269.0, median approximation score: 4.328042268753052]
[   18] ANT-e [score: 4053.0, median singleton score: 28.0, visited nodes (%): 94.0, solving time (ms): 21639.0, median approximation score: 0.0]
[   19] EDF [score: 4400.0, median singleton score: 33.0, visited nodes (%): 92.0, solving time (ms): 7.0, median approximation score: 1.1091269850730896]
[   19] BNT [score: 5037.0, median singleton score: 37.5, visited nodes (%): 89.33332824707031, solving time (ms): 371.0, median approximation score: 1.25]
[   19] CTS [score: 17728.0, median singleton score: 130.0, visited nodes (%): 86.0, solving time (ms): 275.0, median approximation score: 4.405086994171143]
