Job name        : med-lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   11] CTS [score: 565.0, median singleton score: 31.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 1.1818181276321411]
[   11] ANT-e [score: 311.0, median singleton score: 18.0, visited nodes (%): 93.33333587646484, solving time (ms): 21.0, median approximation score: 0.0]
[   12] EDF [score: 449.0, median singleton score: 24.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.28125]
[   12] BNT [score: 534.0, median singleton score: 37.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.424242377281189]
[   12] CTS [score: 845.0, median singleton score: 50.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 1.8064515590667725]
[   12] ANT-e [score: 462.0, median singleton score: 34.0, visited nodes (%): 100.0, solving time (ms): 598.0, median approximation score: 0.0]
[   13] EDF [score: 422.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.2916666269302368]
[   13] BNT [score: 478.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.5499999523162842]
[   13] CTS [score: 857.0, median singleton score: 40.0, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 2.4814815521240234]
[   13] ANT-e [score: 372.0, median singleton score: 27.0, visited nodes (%): 100.0, solving time (ms): 467.0, median approximation score: 0.0]
[   14] EDF [score: 418.0, median singleton score: 23.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.4800000190734863]
[   14] BNT [score: 478.0, median singleton score: 34.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.894736886024475]
[   14] CTS [score: 978.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.08695650100708]
[   14] ANT-e [score: 355.0, median singleton score: 25.0, visited nodes (%): 100.0, solving time (ms): 395.0, median approximation score: 0.0]
[   15] EDF [score: 394.0, median singleton score: 27.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.2142857313156128]
[   15] BNT [score: 419.0, median singleton score: 30.5, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.384615421295166]
[   15] CTS [score: 1108.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.59375]
[   15] ANT-e [score: 351.0, median singleton score: 24.0, visited nodes (%): 100.0, solving time (ms): 590.0, median approximation score: 0.0]
[   16] EDF [score: 325.0, median singleton score: 21.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.125]
[   16] BNT [score: 399.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 1.2666666507720947]
[   16] CTS [score: 617.0, median singleton score: 29.5, visited nodes (%): 93.33333587646484, solving time (ms): 3.0, median approximation score: 1.625]
[   16] ANT-e [score: 283.0, median singleton score: 19.0, visited nodes (%): 100.0, solving time (ms): 377.0, median approximation score: 0.0]
[   17] EDF [score: 432.0, median singleton score: 30.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.1538461446762085]
[   17] BNT [score: 509.0, median singleton score: 36.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.399999976158142]
[   17] CTS [score: 971.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 8.0, median approximation score: 1.558823585510254]
[   17] ANT-e [score: 356.0, median singleton score: 24.5, visited nodes (%): 93.33333587646484, solving time (ms): 60.0, median approximation score: 0.0]
[   18] EDF [score: 601.0, median singleton score: 42.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.4333332777023315]
[   18] BNT [score: 739.0, median singleton score: 52.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.545454502105713]
[   18] CTS [score: 1188.0, median singleton score: 78.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 2.1666667461395264]
[   18] ANT-e [score: 657.0, median singleton score: 42.5, visited nodes (%): 93.33333587646484, solving time (ms): 1298.0, median approximation score: 0.0]
[   19] EDF [score: 378.0, median singleton score: 21.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.1111111640930176]
[   19] BNT [score: 482.0, median singleton score: 28.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.5714285373687744]
[   19] CTS [score: 820.0, median singleton score: 42.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 2.0999999046325684]
[   19] ANT-e [score: 386.0, median singleton score: 25.0, visited nodes (%): 100.0, solving time (ms): 1055.0, median approximation score: 0.0]
[   20] EDF [score: 529.0, median singleton score: 36.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.375]
[   20] BNT [score: 621.0, median singleton score: 43.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.6875]
[   20] CTS [score: 931.0, median singleton score: 47.5, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.5]
[   20] ANT-e [score: 380.0, median singleton score: 24.5, visited nodes (%): 93.33333587646484, solving time (ms): 75.0, median approximation score: 0.0]
[   21] EDF [score: 547.0, median singleton score: 38.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.1190476417541504]
[   21] BNT [score: 531.0, median singleton score: 34.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.0]
[   21] CTS [score: 663.0, median singleton score: 63.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 2.0370371341705322]
[   21] ANT-e [score: 467.0, median singleton score: 32.0, visited nodes (%): 100.0, solving time (ms): 400.0, median approximation score: 0.0]
[   22] EDF [score: 586.0, median singleton score: 37.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.3333333730697632]
[   22] BNT [score: 698.0, median singleton score: 48.5, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 1.7647058963775635]
[   22] CTS [score: 1880.0, median singleton score: 68.0, visited nodes (%): 100.0, solving time (ms): 11.0, median approximation score: 2.4285714626312256]
[   22] ANT-e [score: 421.0, median singleton score: 29.0, visited nodes (%): 93.33333587646484, solving time (ms): 1160.0, median approximation score: 0.0]
[   23] EDF [score: 549.0, median singleton score: 30.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3043478727340698]
[   23] BNT [score: 686.0, median singleton score: 37.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.6857142448425293]
[   23] CTS [score: 1105.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.200000047683716]
[   23] ANT-e [score: 365.0, median singleton score: 24.0, visited nodes (%): 100.0, solving time (ms): 329.0, median approximation score: 0.0]
[   24] EDF [score: 490.0, median singleton score: 34.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 0.9791666865348816]
[   24] BNT [score: 691.0, median singleton score: 42.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.3902438879013062]
[   24] CTS [score: 848.0, median singleton score: 54.5, visited nodes (%): 66.66667175292969, solving time (ms): 8.0, median approximation score: 1.3823529481887817]
[   24] ANT-e [score: 513.0, median singleton score: 35.0, visited nodes (%): 100.0, solving time (ms): 455.0, median approximation score: 0.0]
[   25] EDF [score: 631.0, median singleton score: 38.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 0.9677419066429138]
[   25] BNT [score: 701.0, median singleton score: 42.5, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 0.9767441749572754]
[   25] CTS [score: 1279.0, median singleton score: 99.0, visited nodes (%): 73.33333587646484, solving time (ms): 12.0, median approximation score: 2.5625]
[   25] ANT-e [score: 545.0, median singleton score: 40.0, visited nodes (%): 86.66666412353516, solving time (ms): 680.0, median approximation score: 0.0]
[   26] EDF [score: 485.0, median singleton score: 26.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3529411554336548]
[   26] BNT [score: 520.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.4375]
[   26] CTS [score: 1205.0, median singleton score: 86.0, visited nodes (%): 86.66666412353516, solving time (ms): 9.0, median approximation score: 3.4000000953674316]
[   26] ANT-e [score: 795.0, median singleton score: 50.0, visited nodes (%): 100.0, solving time (ms): 359.0, median approximation score: 0.0]
[   27] EDF [score: 546.0, median singleton score: 35.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.125]
[   27] BNT [score: 607.0, median singleton score: 38.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.1538461446762085]
[   27] CTS [score: 1023.0, median singleton score: 54.5, visited nodes (%): 93.33333587646484, solving time (ms): 8.0, median approximation score: 1.5952380895614624]
[   27] ANT-e [score: 570.0, median singleton score: 39.0, visited nodes (%): 100.0, solving time (ms): 422.0, median approximation score: 0.0]
[   28] EDF [score: 460.0, median singleton score: 30.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.3333333730697632]
[   28] BNT [score: 452.0, median singleton score: 34.5, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 1.3103448152542114]
[   28] CTS [score: 979.0, median singleton score: 71.0, visited nodes (%): 80.0, solving time (ms): 7.0, median approximation score: 2.5151515007019043]
[   28] ANT-e [score: 391.0, median singleton score: 29.5, visited nodes (%): 93.33333587646484, solving time (ms): 205.0, median approximation score: 0.0]
[   29] EDF [score: 715.0, median singleton score: 45.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.1714285612106323]
[   29] BNT [score: 910.0, median singleton score: 60.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.476190447807312]
[   29] CTS [score: 753.0, median singleton score: 46.0, visited nodes (%): 73.33333587646484, solving time (ms): 7.0, median approximation score: 1.125]
[   29] ANT-e [score: 539.0, median singleton score: 37.0, visited nodes (%): 93.33333587646484, solving time (ms): 381.0, median approximation score: 0.0]
[   30] EDF [score: 385.0, median singleton score: 25.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3333333730697632]
[   30] BNT [score: 415.0, median singleton score: 24.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.307692289352417]
[   30] CTS [score: 724.0, median singleton score: 38.5, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 2.1600000858306885]
[   30] ANT-e [score: 375.0, median singleton score: 23.0, visited nodes (%): 100.0, solving time (ms): 503.0, median approximation score: 0.0]
[   31] EDF [score: 426.0, median singleton score: 29.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.2307692766189575]
[   31] BNT [score: 471.0, median singleton score: 35.5, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 1.2173912525177002]
[   31] CTS [score: 720.0, median singleton score: 40.0, visited nodes (%): 86.66666412353516, solving time (ms): 5.0, median approximation score: 1.8571428060531616]
[   31] ANT-e [score: 328.0, median singleton score: 24.5, visited nodes (%): 93.33333587646484, solving time (ms): 130.0, median approximation score: 0.0]
[   32] EDF [score: 685.0, median singleton score: 45.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.4473683834075928]
[   32] BNT [score: 882.0, median singleton score: 63.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.1470587253570557]
[   32] CTS [score: 914.0, median singleton score: 55.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 1.7272727489471436]
[   32] ANT-e [score: 769.0, median singleton score: 52.0, visited nodes (%): 100.0, solving time (ms): 631.0, median approximation score: 0.0]
[   33] EDF [score: 675.0, median singleton score: 42.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.7826087474822998]
[   33] BNT [score: 833.0, median singleton score: 46.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 2.39393949508667]
[   33] CTS [score: 941.0, median singleton score: 79.0, visited nodes (%): 80.0, solving time (ms): 7.0, median approximation score: 1.600000023841858]
[   33] ANT-e [score: 531.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 389.0, median approximation score: 0.0]
[   34] EDF [score: 592.0, median singleton score: 33.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.0625]
[   34] BNT [score: 633.0, median singleton score: 40.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 2.0740740299224854]
[   34] CTS [score: 782.0, median singleton score: 37.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.6470588445663452]
[   34] ANT-e [score: 395.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 983.0, median approximation score: 0.0]
[   35] EDF [score: 538.0, median singleton score: 33.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.3571428060531616]
[   35] BNT [score: 628.0, median singleton score: 31.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.6363636255264282]
[   35] CTS [score: 1408.0, median singleton score: 58.0, visited nodes (%): 93.33333587646484, solving time (ms): 10.0, median approximation score: 2.4782607555389404]
[   35] ANT-e [score: 321.0, median singleton score: 22.0, visited nodes (%): 100.0, solving time (ms): 507.0, median approximation score: 0.0]
[   36] EDF [score: 388.0, median singleton score: 29.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.4444444179534912]
[   36] BNT [score: 503.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 1.4166666269302368]
[   36] CTS [score: 592.0, median singleton score: 24.5, visited nodes (%): 93.33333587646484, solving time (ms): 3.0, median approximation score: 1.6666666269302368]
[   36] ANT-e [score: 347.0, median singleton score: 20.0, visited nodes (%): 100.0, solving time (ms): 89.0, median approximation score: 0.0]
[   37] EDF [score: 656.0, median singleton score: 39.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.040816307067871]
[   37] BNT [score: 665.0, median singleton score: 44.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.0714285373687744]
[   37] CTS [score: 1640.0, median singleton score: 97.5, visited nodes (%): 93.33333587646484, solving time (ms): 11.0, median approximation score: 3.0999999046325684]
[   37] ANT-e [score: 530.0, median singleton score: 36.0, visited nodes (%): 93.33333587646484, solving time (ms): 7.0, median approximation score: 0.0]
[   38] EDF [score: 509.0, median singleton score: 32.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.192307710647583]
[   38] BNT [score: 526.0, median singleton score: 37.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 1.3125]
