Job name        : med-lfb-linearperturbed
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [LINEAR_PERTURBED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[    1] EDF [score: 908.0, median singleton score: 59.0, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 1.774193525314331]
[    1] BNT [score: 899.0, median singleton score: 73.0, visited nodes (%): 93.33333587646484, solving time (ms): 3.0, median approximation score: 2.055555582046509]
[    1] CTS [score: 1249.0, median singleton score: 89.0, visited nodes (%): 86.66666412353516, solving time (ms): 13.0, median approximation score: 2.5]
[    1] ANT-e [score: 610.0, median singleton score: 41.0, visited nodes (%): 100.0, solving time (ms): 2416.0, median approximation score: 0.0]
[    2] EDF [score: 667.0, median singleton score: 50.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.2826087474822998]
[    2] BNT [score: 868.0, median singleton score: 67.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6749999523162842]
[    2] CTS [score: 1771.0, median singleton score: 141.0, visited nodes (%): 100.0, solving time (ms): 6.0, median approximation score: 3.7173912525177]
[    2] ANT-e [score: 553.0, median singleton score: 38.0, visited nodes (%): 100.0, solving time (ms): 379.0, median approximation score: 0.0]
[    3] EDF [score: 637.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.4615384340286255]
[    3] BNT [score: 832.0, median singleton score: 64.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.8055555820465088]
[    3] CTS [score: 1444.0, median singleton score: 118.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 3.736842155456543]
[    3] ANT-e [score: 455.0, median singleton score: 30.5, visited nodes (%): 93.33333587646484, solving time (ms): 58.0, median approximation score: 0.0]
[    4] EDF [score: 718.0, median singleton score: 52.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.3333333730697632]
[    4] BNT [score: 744.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.2972972393035889]
[    4] CTS [score: 1659.0, median singleton score: 113.0, visited nodes (%): 100.0, solving time (ms): 7.0, median approximation score: 3.0810811519622803]
[    4] ANT-e [score: 544.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 172.0, median approximation score: 0.0]
[    5] EDF [score: 580.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.2413792610168457]
[    5] BNT [score: 604.0, median singleton score: 46.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.454545497894287]
[    5] CTS [score: 1132.0, median singleton score: 71.0, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 2.4482758045196533]
[    5] ANT-e [score: 446.0, median singleton score: 32.0, visited nodes (%): 100.0, solving time (ms): 130.0, median approximation score: 0.0]
[    6] EDF [score: 660.0, median singleton score: 46.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.1904761791229248]
