Job name        : med-lfb-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   11] BNT [score: 1034.0, median singleton score: 101.5, visited nodes (%): 80.0, solving time (ms): 0.0, median approximation score: 2.0625]
[   11] CTS [score: 1873.0, median singleton score: 146.0, visited nodes (%): 80.0, solving time (ms): 4.0, median approximation score: 3.4642856121063232]
[   11] ANT-e [score: 594.0, median singleton score: 43.0, visited nodes (%): 93.33333587646484, solving time (ms): 18.0, median approximation score: 0.0]
[   12] EDF [score: 943.0, median singleton score: 61.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.8666666746139526]
[   12] BNT [score: 910.0, median singleton score: 82.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 1.8333333730697632]
[   12] CTS [score: 1111.0, median singleton score: 113.5, visited nodes (%): 66.66667175292969, solving time (ms): 4.0, median approximation score: 2.91304349899292]
[   12] ANT-e [score: 656.0, median singleton score: 43.0, visited nodes (%): 100.0, solving time (ms): 50.0, median approximation score: 0.0]
[   13] EDF [score: 978.0, median singleton score: 71.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6279069185256958]
[   13] BNT [score: 1040.0, median singleton score: 85.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.673076868057251]
[   13] CTS [score: 1565.0, median singleton score: 162.0, visited nodes (%): 66.66667175292969, solving time (ms): 4.0, median approximation score: 2.9259259700775146]
[   13] ANT-e [score: 763.0, median singleton score: 55.0, visited nodes (%): 100.0, solving time (ms): 332.0, median approximation score: 0.0]
[   14] EDF [score: 825.0, median singleton score: 50.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.4864864349365234]
